,PCF,VCF,PVCF,ACF,TRCF
2022-07-28,0.07553421368547418,0.35270108043217285,0.20096038415366146,0.23783913565426168,0.0022569027611044415
2022-07-29,0.0331812725090036,0.32340936374549817,0.16725090036014406,0.18924369747899158,0.14372148859543818
2022-08-01,0.08984393757503001,0.2606002400960384,0.1707082833133253,0.12192076830732293,-0.0009123649459783913
2022-08-02,0.048643457382953184,0.3334933973589435,0.20883553421368548,0.27836734693877546,-0.09349339735894358
2022-08-03,-0.1320048019207683,0.07044417767106842,-0.052965186074429765,0.039711884753901555,-0.02357743097238895
2022-08-04,-0.08043217286914765,0.06256902761104441,-0.00552220888355342,0.1142376950780312,-0.05056422569027611
2022-08-05,0.08945978391356542,0.20211284513805522,0.16542617046818728,0.23159663865546215,0.016470588235294115
2022-08-08,0.0670828331332533,0.14448979591836733,0.10108043217286913,0.2517647058823529,0.045570228091236495
2022-08-09,0.08734693877551021,0.08254501800720286,0.09003601440576231,0.19481392557022806,0.06967587034813925
2022-08-10,0.09531812725090036,0.048643457382953184,0.06381752701080431,0.1433373349339736,0.10213685474189677
2022-08-11,0.15611044417767103,0.1307563025210084,0.10108043217286913,0.23466986794717884,0.1757983193277311
2022-08-12,0.07851140456182472,-0.014261704681872748,-0.015222088835534215,0.06717887154861946,0.07466986794717888
2022-08-15,0.09253301320528211,0.01262905162064826,0.008883553421368545,0.04729891956782713,0.044801920768307316
2022-08-16,0.05008403361344538,-0.027130852340936373,-0.03587034813925571,0.022328931572629048,0.045474189675870344
2022-08-17,0.04201680672268907,0.07313325330132053,0.060168067226890755,0.12422569027611044,0.10770708283313324
2022-08-18,0.01637454981992797,0.056806722689075634,0.04691476590636255,0.09992797118847539,0.11951980792316927
2022-08-19,0.10463385354141658,-0.014069627851140454,0.043937575030012,0.02857142857142857,0.03865546218487395
2022-08-22,0.1373829531812725,-0.07457382953181273,-0.001680672268907563,0.05767106842737095,0.03606242496998799
2022-08-23,0.18213685474189675,0.0033133253301320525,0.06631452581032413,0.10857142857142857,0.11039615846338535
2022-08-24,0.17589435774309725,0.09877551020408162,0.14612244897959184,0.2154621848739496,0.17762304921968786
2022-08-25,0.19577430972388954,-0.02069627851140456,0.08129651860744297,0.10434573829531814,0.041440576230492195
2022-08-26,0.22093637454981993,0.02578631452581032,0.10885954381752701,0.1345018007202881,0.018871548619447776
2022-08-29,0.23649459783913568,-0.0805282112845138,0.056806722689075634,0.041056422569027605,-0.04019207683073229
2022-08-30,0.306218487394958,0.10809123649459784,0.21411764705882352,0.20739495798319327,0.15889555822328932
2022-08-31,0.27222088835534214,0.07803121248499399,0.1644657863145258,0.13853541416566625,0.09349339735894358
2022-09-01,0.17118847539015608,0.1695558223289316,0.1721488595438175,0.27250900360144054,0.4567106842737095
2022-09-02,0.13229291716686675,0.16888355342136854,0.19154861944777912,0.26905162064825927,0.5192316926770708
2022-09-05,0.14160864345738294,0.19894357743097235,0.21623049219687873,0.21210084033613444,0.4987755102040816
2022-09-06,0.09205282112845137,0.16542617046818728,0.21805522208883552,0.26511404561824725,0.4625690276110444
2022-09-07,0.11010804321728691,0.33224489795918366,0.3323409363745498,0.40734693877551015,0.5119327731092437
2022-09-08,-0.015990396158463382,0.3425210084033613,0.294405762304922,0.3398319327731092,0.4143577430972389
2022-09-09,0.135078031212485,0.36950780312124853,0.35270108043217285,0.4148379351740696,0.33647058823529413
2022-09-13,0.17675870348139258,0.4086914765906362,0.37277310924369744,0.4970468187274909,0.386218487394958
2022-09-14,0.14785114045618247,0.428859543817527,0.3275390156062425,0.3668187274909964,0.3275390156062425
2022-09-15,0.19145258103241294,0.40725090036014405,0.34405762304921966,0.3839135654261705,0.3681632653061224
2022-09-16,0.17234093637454984,0.2552220888355342,0.23178871548619448,0.2909483793517407,0.22957983193277312
2022-09-19,0.18581632653061225,0.39540816326530603,0.29673469387755097,0.3624489795918367,0.3093877551020408
2022-09-20,0.0870408163265306,0.3264285714285714,0.22122448979591836,0.310204081632653,0.28275510204081633
2022-09-21,0.04530612244897959,0.358673469387755,0.22377551020408162,0.3229591836734694,0.23816326530612242
2022-09-22,0.11295918367346938,0.43459183673469376,0.3201020408163265,0.39428571428571424,0.3805102040816326
2022-09-23,0.1023469387755102,0.4682653061224489,0.33214285714285713,0.39265306122448973,0.31571428571428567
2022-09-26,0.1133673469387755,0.3737755102040816,0.3276530612244898,0.3223469387755102,0.2101020408163265
2022-09-27,0.07459373966048814,0.3897548408115382,0.29255848372998566,0.2939870916031003,0.21383198557941577
2022-09-28,0.14826530612244895,0.29734693877551016,0.28704081632653056,0.19030612244897957,0.07255102040816327
2022-09-29,0.29244897959183674,0.28214285714285714,0.3981632653061224,0.25602040816326527,-0.04408163265306122
2022-09-30,0.2788775510204081,0.2471428571428571,0.3279591836734693,0.13530612244897958,-0.09744897959183672
